+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| CUUR0000SA0 | 2020 |  M02   | 258.678 |           |
| CUUR0000SA0 | 2020 |  M01   | 257.971 |           |
| CUUR0000SA0 | 2019 |  M12   | 256.974 |           |
| CUUR0000SA0 | 2019 |  M11   | 257.208 |           |
| CUUR0000SA0 | 2019 |  M10   | 257.346 |           |
| CUUR0000SA0 | 2019 |  M09   | 256.759 |           |
| CUUR0000SA0 | 2019 |  M08   | 256.558 |           |
| CUUR0000SA0 | 2019 |  M07   | 256.571 |           |
| CUUR0000SA0 | 2019 |  M06   | 256.143 |           |
| CUUR0000SA0 | 2019 |  M05   | 256.092 |           |
| CUUR0000SA0 | 2019 |  M04   | 255.548 |           |
| CUUR0000SA0 | 2019 |  M03   | 254.202 |           |
| CUUR0000SA0 | 2019 |  M02   | 252.776 |           |
| CUUR0000SA0 | 2019 |  M01   | 251.712 |           |
| CUUR0000SA0 | 2018 |  M12   | 251.233 |           |
| CUUR0000SA0 | 2018 |  M11   | 252.038 |           |
| CUUR0000SA0 | 2018 |  M10   | 252.885 |           |
| CUUR0000SA0 | 2018 |  M09   | 252.439 |           |
| CUUR0000SA0 | 2018 |  M08   | 252.146 |           |
| CUUR0000SA0 | 2018 |  M07   | 252.006 |           |
| CUUR0000SA0 | 2018 |  M06   | 251.989 |           |
| CUUR0000SA0 | 2018 |  M05   | 251.588 |           |
| CUUR0000SA0 | 2018 |  M04   | 250.546 |           |
| CUUR0000SA0 | 2018 |  M03   | 249.554 |           |
| CUUR0000SA0 | 2018 |  M02   | 248.991 |           |
| CUUR0000SA0 | 2018 |  M01   | 247.867 |           |
+-------------+------+--------+---------+-----------+
